Sloeret_SkibID,Skib_Nationalitet,Fangst,Redskab,Art,Fiske_Zone,Afs_Havn,Afsejling_Datomedtid,Ankomst_Datomedtid,Fng_Um_Eng,Fng_Um_Egenskab
IPT7S9F,DNK,15,OTB,TOR,EEC,8018,1/2/21 7:15,1/2/21 18:05,LSC,Legally sized catch
IST/S2F,DNK,3,LL,TOR,EEC,33020,1/24/21 7:00,1/24/21 10:00,LSC,Legally sized catch
IST/S5F,DNK,1,UNK,YYY,EEC,1013,1/9/21 11:15,1/10/21 0:25,AMS,Above maximum size
IST1S2F,DNK,10,GN,RSP,EEC,33020,1/2/21 6:00,1/2/21 13:00,LSC,Legally sized catch
IST1S3F,DNK,10,GN,ORD,EEC,33017,1/4/21 4:50,1/4/21 5:30,LSC,Legally sized catch
"IST1S9F,DNK,""5,260"",TBS,DVR,GRL,60001,12/29/20 17:35,1/4/21 16:00,LSC,Legally sized catch"
IST1S:F,DNK,415,LLD,LKS,EEC,33019,1/2/21 2:00,1/2/21 21:00,LSC,Legally sized catch
IST2S2F,DNK,1,UNK,YYY,EEC,33026,1/4/21 15:45,1/4/21 17:55,AMS,Above maximum size
IST2S9F,DNK,1,UNK,YYY,EEC,33017,1/1/21 20:00,1/2/21 15:00,AMS,Above maximum size
IST3S3F,DNK,15,LL,LKS,EEC,33024,1/8/21 5:30,1/8/21 12:40,LSC,Legally sized catch
IST4S1F,DNK,60,OTB,TOR,EEC,33019,1/1/21 12:00,1/5/21 16:30,LSC,Legally sized catch
IST4S8F,DNK,6,OTB,ISG,EEC,33020,1/2/21 5:30,1/2/21 15:30,LSC,Legally sized catch
IST5S1F,DNK,45,LL,LKS,EEC,33001,1/7/21 10:30,1/7/21 14:00,LSC,Legally sized catch
IST6S7F,DNK,2,OTB,KLM,EEC,32014,1/3/21 0:18,1/4/21 10:25,BMS,Below minimum size
IST7S8F,DNK,4,GN,TOR,EEC,33024,1/2/21 6:00,1/2/21 9:35,LSC,Legally sized catch
ITT2S3F,DNK,13,OTB,AND,EEC,11002,1/2/21 6:00,1/2/21 17:15,LSC,Legally sized catch
ITT2S4F,DNK,202,OTB,RSP,EEC,28001,1/1/21 22:28,1/4/21 20:40,LSC,Legally sized catch
ITT6S5F,DNK,20,OTB,AND,EEC,11002,1/2/21 5:30,1/2/21 14:30,LSC,Legally sized catch
ITTES7F,DNK,115,GNS,RSP,EEC,9083,1/17/21 9:30,1/17/21 15:30,LSC,Legally sized catch
ITT™S7F,DNK,4,GNS,SKR,EEC,18028,1/25/21 9:00,1/25/21 11:15,LSC,Legally sized catch
JBT0S1F/,DNK,5,OTB,ISG,EEC,4009,1/2/21 6:10,1/2/21 15:00,LSC,Legally sized catch
JBT1S6F5,DNK,1,UNK,YYY,EEC,13003,1/1/21 21:18,1/2/21 2:10,AMS,Above maximum size
JBT2S3F/,DNK,143,OTB,DVH,EEC,12002,1/2/21 11:30,1/3/21 15:30,LSC,Legally sized catch
JBTQS4F.,DNK,20,OTB,DVH,EEC,16029,1/9/21 13:45,1/10/21 2:55,LSC,Legally sized catch
"JFT1S5F7,DNK,""1,000"",OTM,HAG,EEC,11002,12/27/20 10:00,1/4/21 13:00,LSC,Legally sized catch"
JFT2S3F4,DNK,60,TBB,HRJ,EEC,19006,1/3/21 16:20,1/4/21 11:00,LSC,Legally sized catch
JFT3S2F5,DNK,105,OTB,ISG,EEC,31030,12/29/20 13:35,1/1/21 22:45,LSC,Legally sized catch
JFT3S7F5,DNK,120,TBB,HRJ,EEC,19006,1/1/21 15:00,1/4/21 9:45,LSC,Legally sized catch
JFT5S2F.,DNK,20,TBB,HRJ,EEC,19006,1/1/21 19:30,1/4/21 8:00,LSC,Legally sized catch
JFT5S3F5,DNK,400,OTB,HVL,EEC,23001,1/3/21 16:00,1/16/21 9:50,LSC,Legally sized catch
JGT?S3F2,DNK,70,FPO,KNK,EEC,10032,1/12/21 5:30,1/12/21 12:30,LSC,Legally sized catch
JGT?S6F.,DNK,75,SSC,ISG,EEC,9040,1/7/21 8:00,1/7/21 14:00,LSC,Legally sized catch
JGT?S6F4,DNK,1,UNK,YYY,EEC,17004,1/9/21 11:30,1/9/21 13:00,AMS,Above maximum size
JGTLS3F.,DNK,3,SDN,ISG,EEC,12001,1/2/21 5:05,1/2/21 18:00,LSC,Legally sized catch
JGTLS5F2,DNK,30,OTB,AND,EEC,11002,1/16/21 6:00,1/16/21 18:45,LSC,Legally sized catch
JGTLS8F0,DNK,180,OTB,DVH,EEC,12002,1/1/21 14:15,1/3/21 18:16,LSC,Legally sized catch
JGTLS8F3,DNK,420,OTB,DVH,EEC,28001,1/25/21 21:15,1/27/21 19:25,LSC,Legally sized catch
JGTLS9F/,DNK,100,TBN,DVH,EEC,12002,1/8/21 6:20,1/8/21 17:20,LSC,Legally sized catch
JIT/S6F/,DNK,35,TBN,DVH,EEC,29011,1/2/21 14:05,1/3/21 10:08,LSC,Legally sized catch
JIT0S2F2,DNK,900,OTB,TOR,EEC,9061,1/2/21 6:00,1/2/21 22:00,LSC,Legally sized catch
"JIT0S2F6,DNK,""36,000"",PTM,SIL,EEC,29011,1/2/21 12:00,1/3/21 6:20,LSC,Legally sized catch"
JIT0S3F0,DNK,15,GN,STB,EEC,13003,1/12/21 6:00,1/12/21 19:00,LSC,Legally sized catch
JIT0S7F2,DNK,45,GN,SKR,EEC,29011,1/3/21 7:30,1/3/21 12:00,LSC,Legally sized catch
JIT0S8F0,DNK,23,OTB,TNG,EEC,29011,1/1/21 13:05,1/2/21 8:30,LSC,Legally sized catch
JIT0S8F1,DNK,45,OTB,RSP,EEC,29015,1/3/21 12:30,1/4/21 11:15,LSC,Legally sized catch
JIT1S4F3,DNK,63,OTB,DVH,EEC,29015,1/7/21 12:10,1/8/21 10:50,LSC,Legally sized catch
"JIT2S2F.,DNK,""1,020"",FPO,KNK,EEC,29015,1/2/21 6:35,1/2/21 19:00,LSC,Legally sized catch"
JIT2S3F0,DNK,1,UNK,YYY,EEC,1012,1/9/21 7:20,1/9/21 13:30,AMS,Above maximum size
JIT3S:F/,DNK,78,OTB,TOR,EEC,29011,1/24/21 13:30,1/25/21 8:10,LSC,Legally sized catch
JIT5S8F5,DNK,28,OTB,RSP,EEC,29011,1/2/21 13:30,1/2/21 23:45,LSC,Legally sized catch
JITES2F3,DNK,263,OTB,DVH,EEC,28001,1/2/21 4:53,1/2/21 19:05,LSC,Legally sized catch
JITES2F7,DNK,5,OTB,ISG,EEC,28001,1/2/21 5:45,1/2/21 17:45,LSC,Legally sized catch
JITES4F/,DNK,12,OTB,RTG,EEC,28001,1/1/21 6:15,1/1/21 21:40,LSC,Legally sized catch
JITES4F3,DNK,1,UNK,YYY,EEC,28001,1/2/21 3:46,1/2/21 9:46,AMS,Above maximum size
JITES6F3,DNK,3,OTB,HAT,EEC,28001,1/2/21 5:30,1/2/21 19:00,LSC,Legally sized catch
JITES7F0,DNK,100,OTM,TOR,EEC,28001,1/2/21 19:30,1/5/21 16:35,LSC,Legally sized catch
JITES8F3,DNK,1,UNK,YYY,EEC,28001,1/24/21 0:35,1/24/21 12:00,AMS,Above maximum size
JITES8F5,DNK,15,OTB,TOR,EEC,28001,1/24/21 7:00,1/24/21 14:30,LSC,Legally sized catch
JITES9F.,DNK,210,GNS,TOR,EEC,28001,1/2/21 1:00,1/2/21 16:15,LSC,Legally sized catch
JITES9F6,DNK,18,TBN,RSP,EEC,28001,1/1/21 11:12,1/2/21 20:27,LSC,Legally sized catch
JITES:F7,DNK,65,GNS,LSJ,EEC,28001,1/2/21 1:58,1/2/21 16:40,LSC,Legally sized catch
JITKS2F5,DNK,60,GN,LSJ,EEC,27015,1/1/21 20:05,1/2/21 22:15,LSC,Legally sized catch
JITKS3F0,DNK,86,LL,KUL,EEC,27015,1/2/21 2:15,1/2/21 22:45,LSC,Legally sized catch
JITKS4F1,DNK,50,GNS,STB,EEC,27023,1/9/21 6:30,1/9/21 14:36,LSC,Legally sized catch
JITKS4F2,DNK,150,GN,ISG,EEC,27015,1/1/21 7:45,1/1/21 15:50,LSC,Legally sized catch
JITKS6F0,DNK,230,GN,TOR,EEC,27015,1/2/21 6:45,1/2/21 14:00,LSC,Legally sized catch
JITKS8F.,DNK,3,GNS,AND,EEC,27023,1/2/21 8:00,1/2/21 13:10,LSC,Legally sized catch
JITKS8F2,DNK,70,OTB,SKR,EEC,9040,1/2/21 3:15,1/2/21 18:41,LSC,Legally sized catch
JITKS8F3,DNK,88,OTB,TOR,EEC,27015,1/9/21 3:48,1/9/21 20:45,LSC,Legally sized catch
JITKS9F1,DNK,8,GN,AND,EEC,27023,1/2/21 6:00,1/2/21 13:00,LSC,Legally sized catch
JITKS9F2,DNK,55,GN,KSO,EEC,27023,1/17/21 6:30,1/17/21 16:27,LSC,Legally sized catch
"JITKS9F4,DNK,""2,600"",GN,TOR,EEC,27015,1/1/21 20:00,1/3/21 19:40,LSC,Legally sized catch"
JITKS9F6,DNK,150,PTM,SIL,EEC,25028,1/6/21 8:00,1/6/21 17:00,LSC,Legally sized catch
JITKS:F1,DNK,45,GN,LSJ,EEC,27023,1/2/21 0:05,1/2/21 16:45,LSC,Legally sized catch
JITKS:F2,DNK,70,GN,TOR,EEC,27023,1/1/21 23:25,1/2/21 17:00,LSC,Legally sized catch
JITKS:F4,DNK,117,TB,KUL,EEC,27015,1/1/21 22:09,1/5/21 20:20,LSC,Legally sized catch
"JITMS4F0,DNK,""12,000"",DRB,BMX,EEC,17004,1/3/21 11:35,1/3/21 15:40,LSC,Legally sized catch"
JITTS2F4,DNK,510,TBB,HRJ,EEC,19009,1/2/21 8:50,1/4/21 9:00,LSC,Legally sized catch
JITTS3F0,DNK,1,UNK,YYY,EEC,16026,1/30/21 11:00,2/1/21 11:00,AMS,Above maximum size
JITTS4F3,DNK,95,TBB,HRJ,EEC,19009,1/2/21 14:00,1/3/21 6:00,LSC,Legally sized catch
JITTS7F.,DNK,2,OTB,RTG,EEC,18043,1/2/21 8:40,1/2/21 16:15,LSC,Legally sized catch
JITTS7F5,DNK,63,TBB,HRJ,EEC,19009,1/2/21 12:15,1/3/21 6:50,LSC,Legally sized catch
JITTS9F.,DNK,399,TBB,HRJ,EEC,19009,1/3/21 14:00,1/4/21 9:40,LSC,Legally sized catch
JITTS:F7,DNK,40,OTB,AND,EEC,11002,1/2/21 5:45,1/2/21 17:00,LSC,Legally sized catch
JLT/S:F/,DNK,156,GN,TOR,EEC,1004,1/2/21 6:00,1/2/21 10:00,LSC,Legally sized catch
JLT0S5F6,DNK,200,GTR,RSP,EEC,1004,1/2/21 5:00,1/2/21 11:40,LSC,Legally sized catch
JLT1S4F1,DNK,15,GN,RSP,EEC,1004,1/4/21 5:30,1/4/21 7:30,LSC,Legally sized catch
JLT1S:F6,DNK,20,GN,SKR,EEC,1004,1/5/21 6:00,1/5/21 10:00,LSC,Legally sized catch
JLT?S2F/,DNK,3,GTR,SLH,EEC,1033,1/2/21 11:30,1/2/21 15:00,LSC,Legally sized catch
JLT?S8F/,DNK,35,OTB,DVH,EEC,32014,1/9/21 11:00,1/10/21 5:30,LSC,Legally sized catch
